Course,Error Message,Meeting Days,Start Time,End Time,Meeting Type (Discussion Lecture etc),Section Notes,Section Text,Section Capp Area,XML Link
AAS 281,,MW,11:00 AM,11:50 AM,LCD,,"Topic:  Contrary to some pundits and popular (mis)perceptions, race remains a salient factor in contemporary American life.  We need to look no further than the 2016 U.S. presidential election in which President Trump capitalized on the racial anxieties a significant portion of white America.  This course is geared toward developing a historical understanding of the construction of race in the United States from the colonial period to the present.  Through course materials, class discussions, and lectures, we explore the making of race and white supremacy, as well as movements and organizations committed to racial justice and equality.  Transnational and intersectional in scope, this class focuses special attention to the gendered contours of race, as well as to the Midwest as a geographic site of inquiry for examining race in U.S. life and history.  .Individual and group assignments will be used to accomplish the course's major aims: to further develop our ability to think critically, write analytically, and to understand the construction of race in a historically nuanced manner. Graded assignments will consist of individual and group essays.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/70106.xml
AAS 282,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/282.xml
AAS 283,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/283.xml
AAS 286,,MWF,02:00 PM,02:50 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/286/41932.xml
AAS 287,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/287.xml
AAS 297,,TR,09:30 AM,10:45 AM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/297/64421.xml
AAS 297,,MW,05:00 PM,06:15 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/297/77102.xml
AAS 310,,R,02:00 PM,03:50 PM,DIS,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/310/65000.xml
AAS 310,,R,02:00 PM,03:50 PM,DIS,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/310/33764.xml
AAS 310,,R,02:00 PM,03:50 PM,OD ,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/310/77817.xml
AAS 310,,T,02:00 PM,03:50 PM,LEC,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/310/33770.xml
AAS 402,,W,02:00 PM,03:50 PM,LCD,Restricted to Graduate - Urbana-Champaign.,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/402/45567.xml
AAS 402,,W,02:00 PM,03:50 PM,LCD,Restricted to Undergrad - Urbana-Champaign.,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/402/64998.xml
ACE 255,,R,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/78320.xml
ACE 255,,R,03:00 PM,03:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/78321.xml
ACE 255,,F,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/78322.xml
ACE 255,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/78323.xml
ACE 255,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/78324.xml
ACE 255,,MW,10:00 AM,10:50 AM,LEC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACE/255/49417.xml
ACES 179,,W,04:00 PM,04:50 PM,ONL,,"Special Instructions: One hour LIVE session each week to discuss main points and complete small group discussions. These occur on Wednesdays, 4:00-4:50PM, 8/25/21 to 12/8/21, via Zoom. Students should have high speed internet connection (preferably not wireless), and a microphone or headset with microphone for course interaction during the LIVE sessions.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACES/179/61977.xml
ACES 179,,W,05:00 PM,05:50 PM,ONL,,"Special Instructions: One hour LIVE session each week to discuss main points and complete small group discussions. These occur on Wednesdays, 5:00-5:50PM, 8/25/21 to 12/8/21, via Zoom. Students should have high speed internet connection (preferably not wireless), and a microphone or headset with microphone for course interaction during the LIVE sessions.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ACES/179/61978.xml
ADV 175,,MW,01:00 PM,02:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ADV/175/77054.xml
AFRO 100,,F,10:00 AM,10:50 AM,DIS,,Students must register for lecture and one discussion group.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/100/49318.xml
AFRO 100,,F,10:00 AM,10:50 AM,DIS,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/100/49320.xml
AFRO 100,,F,11:00 AM,11:50 AM,DIS,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/100/49322.xml
AFRO 100,,F,11:00 AM,11:50 AM,DIS,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/100/49323.xml
AFRO 100,,MW,10:00 AM,11:20 AM,LCD,,No late enrollment.  Students must seek instructor approval if after the first day of class.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/100/29810.xml
AFRO 101,,R,12:30 PM,01:20 PM,DIS,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/101/47705.xml
AFRO 101,,R,02:00 PM,02:50 PM,DIS,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/101/47707.xml
AFRO 101,,TR,11:00 AM,12:20 PM,LEC,,Students must register for lecture and one discussion group,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/101/36652.xml
AFRO 103,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/103.xml
AFRO 105,,MWF,11:00 AM,11:50 AM,LCD,,"This course will be a survey of the literary work of Black Americans from 1746 to the present. Exploration of the social, cultural, and political contexts that have shaped the Black American literary tradition by analyzing not only poetry, drama, autobiographical narratives, short stories, and novels, but also folktales and music.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/105/61378.xml
AFRO 106,,TR,02:00 PM,03:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/106/57511.xml
AFRO 122,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/122.xml
AFRO 132,,F,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/132/75548.xml
AFRO 132,,F,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/132/75549.xml
AFRO 132,,F,03:00 PM,03:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/132/75550.xml
AFRO 132,,F,03:00 PM,03:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/132/75551.xml
AFRO 132,,MW,03:00 PM,03:50 PM,LEC,,Meets with MUS 199 section JM1,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/132/67122.xml
AFRO 134,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/134/76920.xml
AFRO 134,,F,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/134/76921.xml
AFRO 134,,MW,11:00 AM,11:50 AM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/134/76923.xml
AFRO 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/201/71041.xml
AFRO 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/201/71044.xml
AFRO 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/201/74249.xml
AFRO 211,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/211.xml
AFRO 212,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/212.xml
AFRO 215,,TR,11:00 AM,12:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/215/55766.xml
AFRO 224,,MW,02:00 PM,03:20 PM,LCD,,"AFRO 224 Race and Food Security - Achieving food security across the world for and understanding of racial inequalities that impact the ways in which food is produced, consumed, processed and distributed. Yet current food securities strategies largely ignore issues of race while focusing on the productivity of agricultural methods of environmental sustainability.  In this course, students will critically analyze and explore the food continuum -from the soil to the fork - through the humanistic frameworks deprived from an Afro-centric world view of agri-food systems.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/224/39602.xml
AFRO 228,,MW,12:30 PM,01:50 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/228/70353.xml
AFRO 231,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/231.xml
AFRO 234,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/234.xml
AFRO 250,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/250.xml
AFRO 259,,TR,09:30 AM,10:45 AM,LCD,,"FA23 AFRO 259/CWL 259/ ENGL 259 Early African American Lit - Christopher Freeburg:  An introduction to the study of early African American literary and cultural production, ranging from the earliest writings by African descended people in British North America in the eighteenth century to the end of World War I. At each turn, we will situate texts in their cultural and historical contexts, attending not only to the specificity of a particular text's moment, but also to the forces of contingency and tradition at play in the construction of literary, cultural, and political communities. Throughout our discussions we will think about both the ""African-ness"" and ""American-ness"" of African American literature as collective and imaginative processes. Early African Americans wrote for a variety of reasons—philosophical, political, pleasurable, instrumental—and protesting slavery and racism was just one (albeit an important one) among many of those reasons. We will read letters, poems, sermons, songs, constitutions and bylaws for religious and civic organizations, stories, and texts that defy easy categorization. Writers may include Phillis Wheatley, David Walker, Maria Stewart, Frederick Douglass, Harriet Jacobs, Frances E.W. Harper, William Wells Brown, W.E.B. Du Bois, Pauline Hopkins, Charles Chesnutt, Paul Lawrence Dunbar, Alice Dunbar Nelson, and Ida B. Wells.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/259/55609.xml
AFRO 260,,MWF,02:00 PM,02:50 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/260/46869.xml
AFRO 261,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/261.xml
AFRO 275,,MWF,10:00 AM,10:50 AM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/275/34289.xml
AFRO 276,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/276.xml
AFRO 281,,F,09:00 AM,09:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/71410.xml
AFRO 281,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/71414.xml
AFRO 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/71418.xml
AFRO 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/75270.xml
AFRO 281,,W,03:00 PM,03:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/75273.xml
AFRO 281,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/75276.xml
AFRO 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/78175.xml
AFRO 281,,F,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/78179.xml
AFRO 281,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/78183.xml
AFRO 281,,MW,11:00 AM,11:50 AM,LCD,,"Topic:  Contrary to some pundits and popular (mis)perceptions, race remains a salient factor in contemporary American life.  We need to look no further than the 2016 U.S. presidential election in which President Trump capitalized on the racial anxieties a significant portion of white America.  This course is geared toward developing a historical understanding of the construction of race in the United States from the colonial period to the present.  Through course materials, class discussions, and lectures, we explore the making of race and white supremacy, as well as movements and organizations committed to racial justice and equality.  Transnational and intersectional in scope, this class focuses special attention to the gendered contours of race, as well as to the Midwest as a geographic site of inquiry for examining race in U.S. life and history.  .Individual and group assignments will be used to accomplish the course's major aims: to further develop our ability to think critically, write analytically, and to understand the construction of race in a historically nuanced manner. Graded assignments will consist of individual and group essays.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/281/70107.xml
AFRO 287,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/287.xml
AFRO 290,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFRO/290.xml
AFRO 310,,R,02:00 PM,03:50 PM,DIS,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/310/65001.xml
AFRO 310,,R,02:00 PM,03:50 PM,DIS,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/310/33765.xml
AFRO 310,,R,02:00 PM,03:50 PM,OD ,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/310/77818.xml
AFRO 310,,T,02:00 PM,03:50 PM,LEC,,All students must register for the lecture and one discussion section.,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/310/33771.xml
AFRO 340,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AFRO/340/59964.xml
AFST 103,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AFST/103.xml
AIS 101,,F,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/101/72042.xml
AIS 101,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/101/70726.xml
AIS 101,,MW,01:00 PM,01:50 PM,LEC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/101/72534.xml
AIS 102,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/102.xml
AIS 140,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/140.xml
AIS 214,,TR,09:30 AM,10:50 AM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/214/73393.xml
AIS 265,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/265.xml
AIS 275,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/275.xml
AIS 277,,TR,09:30 AM,10:50 AM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/277/46680.xml
AIS 278,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/278.xml
AIS 288,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AIS/288.xml
AIS 295,,TR,11:00 AM,12:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AIS/295/55767.xml
ANTH 106,,TR,02:00 PM,03:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ANTH/106/57508.xml
ANTH 160,,,ARRANGED,,OLC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/ANTH/160/75173.xml
ANTH 259,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/ANTH/259.xml
ANTH 261,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/ANTH/261.xml
ANTH 288,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/ANTH/288.xml
CLCV 224,,W,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71436.xml
CLCV 224,,W,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71440.xml
CLCV 224,,W,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71441.xml
CLCV 224,,W,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71442.xml
CLCV 224,,W,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71443.xml
CLCV 224,,W,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/71444.xml
CLCV 224,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/72934.xml
CLCV 224,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/72937.xml
CLCV 224,,W,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/72938.xml
CLCV 224,,W,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/72939.xml
CLCV 224,,TR,03:30 PM,04:20 PM,LEC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CLCV/224/70306.xml
CMN 214,,TR,09:30 AM,10:50 AM,LCD,,"Credit not given for both CMN 214 and CMN 396 topic, Org Comm & Diversity.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/214/74485.xml
CMN 214,,TR,11:00 AM,12:20 PM,LCD,,"Credit not given for both CMN 214 and CMN 396 topic, Org Comm & Diversity.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/214/74486.xml
CMN 250,,TR,09:30 AM,10:50 AM,LCD,,"Credit not given for both CMN 250 and CMN 396 topic, Social Movement Communication.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/250/71911.xml
CMN 250,,TR,12:30 PM,01:50 PM,LCD,,"Credit not given for both CMN 250 and CMN 396 topic, Social Movement Communication.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/250/70359.xml
CMN 250,,MWF,11:00 AM,11:50 AM,LCD,,"Credit not given for both CMN 250 and CMN 396 topic, Social Movement Communication.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/250/71913.xml
CMN 250,,MWF,01:00 PM,01:50 PM,LCD,,"Credit not given for both CMN 250 and CMN 396 topic, Social Movement Communication.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/250/74522.xml
CMN 277,,TR,09:30 AM,10:50 AM,LEC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/277/53476.xml
CMN 277,,R,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/277/53477.xml
CMN 277,,R,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/277/53478.xml
CMN 277,,R,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/277/53479.xml
CMN 277,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CMN/277/53484.xml
CWL 122,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/CWL/122.xml
CWL 204,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/CWL/204.xml
CWL 209,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/CWL/209.xml
CWL 226,,MW,02:00 PM,03:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CWL/226/41141.xml
CWL 259,,TR,09:30 AM,10:45 AM,LCD,,"FA23 CWL 259/AFRO 259/ ENGL 259 Early African American Lit - Christopher Freeburg:  An introduction to the study of early African American literary and cultural production, ranging from the earliest writings by African descended people in British North America in the eighteenth century to the end of World War I. At each turn, we will situate texts in their cultural and historical contexts, attending not only to the specificity of a particular text's moment, but also to the forces of contingency and tradition at play in the construction of literary, cultural, and political communities. Throughout our discussions we will think about both the ""African-ness"" and ""American-ness"" of African American literature as collective and imaginative processes. Early African Americans wrote for a variety of reasons—philosophical, political, pleasurable, instrumental—and protesting slavery and racism was just one (albeit an important one) among many of those reasons. We will read letters, poems, sermons, songs, constitutions and bylaws for religious and civic organizations, stories, and texts that defy easy categorization. Writers may include Phillis Wheatley, David Walker, Maria Stewart, Frederick Douglass, Harriet Jacobs, Frances E.W. Harper, William Wells Brown, W.E.B. Du Bois, Pauline Hopkins, Charles Chesnutt, Paul Lawrence Dunbar, Alice Dunbar Nelson, and Ida B. Wells.",,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CWL/259/55610.xml
CWL 260,,MWF,02:00 PM,02:50 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/CWL/260/46870.xml
DANC 125,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/DANC/125.xml
DANC 340,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/DANC/340/59812.xml
